hostTime;deviceTime;rA;cA;rB;cB;tpb_x;tpb_y
19443.656371;5.389402;1800;1800;1800;1800;10;10
19451.851162;7.467960;1800;1800;1800;1800;8;8
26456.556508;6.443035;2000;2000;2000;2000;12;12
26347.951506;7.460629;2000;2000;2000;2000;10;10
26456.660766;11.252260;2000;2000;2000;2000;8;8
148614.402232;60.735283;3400;3400;3400;3400;6;6
148161.190036;107.923364;3400;3400;3400;3400;4;4
35382.899070;9.808388;2200;2200;2200;2200;10;10
35547.395451;14.019496;2200;2200;2200;2200;8;8
35413.322908;8.633834;2200;2200;2200;2200;12;12
150195.727679;400.651153;3400;3400;3400;3400;2;2
45716.537110;13.308574;2400;2400;2400;2400;12;12
45930.796581;15.986123;2400;2400;2400;2400;10;10
45959.125566;24.030919;2400;2400;2400;2400;8;8
60210.882635;17.253699;2600;2600;2600;2600;10;10
60199.854899;14.394820;2600;2600;2600;2600;8;8
61066.375091;14.860265;2600;2600;2600;2600;12;12
167793.004896;74.012520;3600;3600;3600;3600;6;6
168018.827998;128.618637;3600;3600;3600;3600;4;4
169068.675604;475.140244;3600;3600;3600;3600;2;2
76176.619966;22.405817;2800;2800;2800;2800;10;10
76199.846501;28.068232;2800;2800;2800;2800;8;8
76755.238932;18.857547;2800;2800;2800;2800;12;12
97224.741587;28.423069;3000;3000;3000;3000;10;10
97179.863511;35.939530;3000;3000;3000;3000;8;8
98560.546342;23.189247;3000;3000;3000;3000;12;12
205488.093477;86.007660;3800;3800;3800;3800;6;6
205275.881626;151.429732;3800;3800;3800;3800;4;4
205880.688183;559.009660;3800;3800;3800;3800;2;2
147123.689167;62.298231;3200;3200;3200;3200;8;8
151013.523293;39.717630;3200;3200;3200;3200;10;10
151521.404338;32.175944;3200;3200;3200;3200;12;12
149901.019880;50.888943;3400;3400;3400;3400;8;8
150300.666073;42.385042;3400;3400;3400;3400;10;10
150928.011308;34.627771;3400;3400;3400;3400;12;12
232346.307334;114.824788;4000;4000;4000;4000;6;6
230817.174500;178.958196;4000;4000;4000;4000;4;4
231579.646363;648.284099;4000;4000;4000;4000;2;2
168158.151506;64.788134;3600;3600;3600;3600;8;8
168813.854882;51.257646;3600;3600;3600;3600;10;10
168339.088907;41.550133;3600;3600;3600;3600;12;12
280066.332978;118.440199;4200;4200;4200;4200;6;6
279053.700539;204.243663;4200;4200;4200;4200;4;4
280184.512947;750.225163;4200;4200;4200;4200;2;2
192548.537021;59.826649;3800;3800;3800;3800;10;10
205276.643877;73.140800;3800;3800;3800;3800;8;8
207073.283957;51.312463;3800;3800;3800;3800;12;12
230714.545712;79.037771;4000;4000;4000;4000;10;10
231996.336810;117.024582;4000;4000;4000;4000;8;8
310882.584805;139.401343;4400;4400;4400;4400;6;6
312385.104593;236.416176;4400;4400;4400;4400;4;4
231027.931767;65.365041;4000;4000;4000;4000;12;12
311516.709310;868.449318;4400;4400;4400;4400;2;2
